         0.000,130.00
         0.016,129.47
         0.035,129.25
         0.047,128.09
         0.059,128.94
         0.070,130.19
         0.087,131.43
         0.111,132.96
         0.131,134.39
         0.151,135.15
         0.167,135.23
         0.181,134.75
         0.186,133.49
         0.196,132.14
         0.212,130.98
         0.233,129.53
         0.242,128.08
         0.259,126.63
         0.268,125.09
         0.280,124.03
         0.328,123.62
         0.345,123.70
         0.373,124.17
         0.399,124.64
         0.419,124.92
         0.438,124.91
         0.467,125.37
         0.485,125.94
         0.504,126.60
         0.521,127.46
         0.523,128.61
         0.537,129.47
         0.557,130.33
         0.571,131.28
         0.573,132.05
         0.595,132.52
         0.613,132.70
         0.623,132.89
         0.640,132.98
         0.668,133.25
         0.684,133.63
         0.699,134.20
         0.706,134.77
         0.723,135.34
         0.748,135.90
         0.756,136.57
         0.783,137.13
         0.807,137.89
         0.837,138.64
         0.857,139.31
         0.869,140.17
         0.892,141.02
         0.912,141.49
         0.918,142.16
         0.923,142.83
         0.939,143.59
         0.951,144.35
         0.963,145.31
         0.966,145.98
         0.966,146.65
         0.976,147.32
         0.984,148.18
         1.001,149.23
         1.003,150.77
         1.019,152.20
         1.034,153.44
         1.053,154.59
         1.061,155.45
         1.069,155.73
         1.071,156.12
         1.090,156.30
         1.105,156.49
         1.118,157.06
         1.122,157.73
         1.145,158.48
         1.148,159.44
         1.152,160.21
         1.165,160.97
         1.180,161.93
         1.193,162.79
         1.210,163.45
         1.220,164.21
         1.234,164.78
         1.236,165.07
         1.250,165.35
         1.267,165.73
         1.285,166.10
         1.292,166.39
         1.294,166.96
         1.305,167.54
         1.326,168.01
         1.340,168.67
         1.359,169.24
         1.367,169.71
         1.373,170.19
         1.383,170.76
         1.388,171.24
         1.390,171.91
         1.395,172.30
         1.400,172.68
         1.414,173.25
         1.424,173.92
         1.427,174.49
         1.439,175.25
         1.445,175.64
         1.449,175.83
         1.463,175.82
         1.466,175.91
         1.485,176.19
         1.491,176.96
         1.493,177.82
         1.508,178.78
         1.519,179.64
         1.524,180.59
         1.537,181.36
         1.547,181.93
         1.550,182.60
         1.553,183.27
         1.555,183.75
         1.557,184.33
         1.565,184.90
         1.572,185.18
         1.575,185.38
         1.584,185.66
         1.604,186.03
         1.617,186.51
         1.634,187.27
         1.636,188.23
         1.651,188.99
